"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
20000,20000,0.089,"36 months","debt_consolidation",0.149,"south carolina","MORTGAGE",6541.67,"735-739",14,14272,2,"< 1 year"
19200,19200,0.1212,"36 months","debt_consolidation",0.2836,"texas","MORTGAGE",4583.33,"715-719",12,11140,1,"2 years"
35000,35000,0.2198,"60 months","debt_consolidation",0.2381,"california","MORTGAGE",11500,"690-694",14,21977,1,"2 years"
10000,9975,0.0999,"36 months","debt_consolidation",0.143,"kansas","MORTGAGE",3833.33,"695-699",10,9346,0,"5 years"
12000,12000,0.1171,"36 months","credit_card",0.1878,"new jersey","RENT",3195,"695-699",11,14469,0,"9 years"
6000,6000,0.1531,"36 months","other",0.2005,"connecticut","OWN",4891.67,"670-674",17,10391,2,"3 years"
10000,10000,0.079,"36 months","debt_consolidation",0.2609,"massachusetts","RENT",2916.67,"720-724",10,15957,0,"10+ years"
33500,33450,0.1714,"60 months","credit_card",0.147,"louisiana","MORTGAGE",13863.42,"705-709",12,27874,0,"10+ years"
14675,14675,0.1433,"36 months","credit_card",0.2692,"california","RENT",3150,"685-689",9,7246,1,"8 years"
7000,7000,0.0691,"36 months","credit_card",0.071,"california","RENT",5000,"715-719",8,7612,0,"3 years"
2000,2000,0.1972,"36 months","moving",0.1029,"florida","RENT",3575,"670-674",10,12036,0,"6 years"
10625,10625,0.1427,"36 months","debt_consolidation",0.1254,"california","MORTGAGE",4250,"665-669",14,10767,0,"< 1 year"
28000,27975,0.2167,"60 months","debt_consolidation",0.1307,"connecticut","MORTGAGE",14166.67,"670-674",12,10311,0,"1 year"
35000,34950,0.089,"36 months","debt_consolidation",0.2046,"connecticut","RENT",9166.67,"735-739",19,21536,0,"1 year"
9600,9600,0.0762,"36 months","debt_consolidation",0.0345,"district of columbia","RENT",11250,"725-729",13,4606,0,"< 1 year"
25000,24975,0.1565,"60 months","debt_consolidation",0.2199,"california","RENT",5416.67,"730-734",6,13929,0,"9 years"
10000,10000,0.1212,"36 months","debt_consolidation",0.1772,"california","RENT",9000,"695-699",18,20317,0,"7 years"
14000,13900.25,0.1037,"60 months","debt_consolidation",0.1195,"ohio","RENT",4333.33,"740-744",6,7419,0,"9 years"
10000,10000,0.0976,"36 months","credit_card",0.0713,"florida","RENT",2733.33,"730-734",7,6112,2,"3 years"
5200,5175,0.0999,"60 months","debt_consolidation",0.1029,"alabama","MORTGAGE",3750,"760-764",10,16094,0,"< 1 year"
22000,21975,0.2198,"36 months","debt_consolidation",0.1119,"texas","MORTGAGE",6666.67,"665-669",9,23124,0,"10+ years"
30000,30000,0.1905,"60 months","credit_card",0.2125,"florida","MORTGAGE",6250,"695-699",12,34927,0,"6 years"
6500,6500,0.1799,"60 months","car",0.1963,"florida","RENT",4100,"665-669",11,11697,1,"2 years"
17400,17400,0.1199,"36 months","credit_card",0.1247,"arizona","RENT",6833.33,"695-699",7,26587,0,"7 years"
4000,4000,0.1682,"60 months","vacation",0.1371,"georgia","MORTGAGE",4500,"670-674",5,20804,0,"3 years"
7200,7200,0.079,"36 months","debt_consolidation",0.2482,"texas","RENT",5416.67,"705-709",8,12017,0,"7 years"
8000,8000,0.1442,"36 months","debt_consolidation",0.2463,"massachusetts","RENT",2964.17,"675-679",9,8928,2,"6 years"
8000,8000,0.1531,"36 months","debt_consolidation",0.1546,"california","MORTGAGE",2916.67,"675-679",13,7152,1,"5 years"
3000,3000,0.0859,"36 months","other",0.0372,"massachusetts","MORTGAGE",4167,"765-769",4,7074,0,"5 years"
14500,14500,0.079,"36 months","debt_consolidation",0.0485,"georgia","MORTGAGE",3958.33,"760-764",4,9598,0,"4 years"
23850,23850,0.21,"60 months","debt_consolidation",0.2881,"louisiana","MORTGAGE",5833.33,"685-689",19,25968,3,"9 years"
14000,14000,0.1212,"36 months","debt_consolidation",0.1493,"california","MORTGAGE",10583.33,"685-689",9,35457,0,"2 years"
35000,34975,0.1649,"60 months","debt_consolidation",0.0745,"georgia","MORTGAGE",10416.67,"720-724",7,31414,0,"8 years"
